country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions,surplus_deficit_GDP[%],familiy_income_gini_coeff,GDP_per_capita[$],inflation_rate[%],military_expenditures[%],map_reference,biggest_official_language,population,Inequality-adjusted HDI (IHDI),Inequality in life expectancy [%],Inequality in education [%],Inequality in income [%],Quintile ratio,Palma ratio ,Gini coefficient,HDI rank,Human Development Index,Life expectancy at birth [years],Expected years of schooling [years],Mean years of schooling [years],Gross national income (GNI) per capita [$],HDI  Rank 2016
Norway,1,7.537000179290770,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415500,2.27702665328979,97.3,108,4.2,26.8,71800.0,1.9,1.62,Europe,Bokmal Norwegian,5320045,0.876,2.7,6.1,14.9,4.1,1.0,27.5,1,0.953,82.3,17.9,12.6,68012,1
Denmark,2,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780940,0.626006722450256,0.3552804887294770,0.40077006816864,2.31370735168457,97.0,124,-0.6000000000000000,29.0,49900.0,1.1,1.15,Europe,Danish,5605948,0.860,3.4,4.3,14.4,4.0,1.0,28.2,11,0.929,80.9,19.1,12.6,47918,10
Iceland,3,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160890,0.6271626353263850,0.475540220737457,0.15352655947208400,2.32271528244019,98.2,121,0.9,28.0,51800.0,1.8,0.1,Arctic Region,Icelandic,339747,0.878,2.4,2.6,12.8,3.6,0.9,25.6,6,0.935,82.9,19.3,12.4,45810,6
Switzerland,4,7.49399995803833,1.5649795532226600,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927700,0.3670072853565220,2.2767162322998,89.4,137,0.2,29.5,61400.0,0.5,0.71,Europe,German,8236303,0.871,3.5,2.4,16.8,5.2,1.3,32.5,2,0.944,83.5,16.2,13.4,57625,2
Finland,5,7.468999862670900,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856380,0.24548277258873,0.38261154294014,2.4301815032959,87.7,132,-2.0,27.2,44300.0,0.8,1.23,Europe,Finnish,5518371,0.868,2.8,1.9,11.7,3.9,1.0,27.1,15,0.920,81.5,17.6,12.4,41002,15
Netherlands,6,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305180,0.5853844881057740,0.470489829778671,0.282661825418472,2.29480409622192,90.4,120,0.30000000000000000,30.3,53600.0,1.3,1.17,Europe,Dutch,17084719,0.857,3.0,5.3,15.0,4.4,1.1,29.3,10,0.931,82.0,18.0,12.2,47900,10
Canada,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,89.8,88,-2.0,32.1,48300.0,1.6,0.99,North America,English,35623680,0.852,4.3,1.4,17.4,6.2,1.3,34.0,12,0.926,82.5,16.4,13.3,43433,12
New Zealand,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512020,0.500005125999451,0.38281670212745700,2.0464563369751,88.5,142,0.7000000000000000,36.2,38900.0,1.9,1.1,Oceania,English,4510327,0.846,4.3,1.7,16.4,,,,16,0.917,82.0,18.9,12.5,33970,16
Sweden,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.38539925217628500,0.384398728609085,2.09753799438477,91.5,125,0.9,24.9,51500.0,1.9,1.1,Europe,Swedish,9960487,0.864,2.7,3.7,15.3,4.6,1.0,29.2,7,0.933,82.6,17.6,12.4,47766,7
Australia,10,7.28399991989136,1.4844149351120000,1.5100419521331800,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,88.2,119,-1.7000000000000000,30.3,50300.0,2.0,2.0,Oceania,English,23232413,0.861,3.6,2.6,17.7,5.8,1.4,34.7,3,0.939,83.1,22.9,12.9,43560,3
Israel,11,7.212999820709230,1.3753824234008800,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,79.8,127,-2.7,42.8,36300.0,0.2,5.62,Middle East,Hebrew,8299706,0.787,3.3,7.0,26.4,9.8,2.0,41.4,22,0.903,82.7,15.9,13.0,32711,21
Costa Rica,12,7.0789999961853,1.10970628261566,1.4164036512374900,0.7595092654228210,0.580131649971008,0.21461322903633100,0.100106589496136,2.89863920211792,66.0,179,-5.2,48.5,16900.0,1.6,,Central America and the Caribbean,Spanish,4930258,0.651,7.5,11.9,32.4,12.9,3.0,48.7,63,0.794,80.0,15.4,8.8,14636,63
Austria,13,7.00600004196167,1.48709726333618,1.4599449634552,0.8153284192085270,0.567766189575195,0.316472321748734,0.22106036543846100,2.1385064125061000,84.3,170,-1.2,30.5,49900.0,2.2,0.58,Europe,German,8754413,0.835,3.0,2.6,17.7,4.9,1.1,30.5,20,0.908,81.8,16.1,12.1,45415,20
United States,14,6.993000030517580,1.54625928401947,1.4199205636978100,0.7742866277694700,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,76.2,121,-3.4,45.0,59500.0,2.1,3.29,North America,English,326625791,0.797,5.6,5.5,28.1,9.4,2.0,41.5,13,0.924,79.5,16.5,13.4,54941,12
Ireland,15,6.977000236511230,1.5357066392898600,1.55823111534119,0.8097826242446900,0.5731103420257570,0.42785832285881,0.2983881533145900,1.77386903762817,82.2,98,-0.6000000000000000,31.3,75500.0,0.30000000000000000,0.34,Europe,English,5011102,0.854,2.8,2.9,20.1,5.1,1.2,31.9,4,0.938,81.6,19.6,12.5,53754,4
Germany,16,6.9510002136230500,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.33626917004585300,0.276731938123703,2.01576995849609,89.6,132,0.7000000000000000,27.0,50400.0,1.7000000000000000,1.2,Europe,German,80594017,0.861,3.0,2.7,17.7,5.1,1.2,31.7,5,0.936,81.2,17.0,14.1,46136,4
Belgium,17,6.89099979400635,1.46378076076508,1.4623126983642600,0.8180918693542480,0.5397707223892210,0.23150333762168900,0.251343131065369,2.12421035766602,86.5,104,-1.5,25.9,46600.0,2.2,0.9,Europe,Dutch,11491346,0.836,3.6,8.7,13.7,4.2,1.0,27.7,17,0.916,81.3,19.8,11.8,42156,16
Luxembourg,18,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,97.5,134,0.5,30.4,106300.0,2.1,0.54,Europe,Luxembourgish,594130,0.811,3.4,9.4,17.7,5.0,1.2,31.2,21,0.904,82.0,14.0,12.1,65016,26
United Kingdom,19,6.71400022506714,1.44163393974304,1.4964600801467900,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,94.8,121,-3.6,32.4,44100.0,2.7,2.2,Europe,English,65648100,0.835,4.0,3.7,19.5,5.4,1.3,33.2,14,0.922,81.7,17.4,12.9,39116,14
Chile,20,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031980,0.376895278692245,0.3266624212265010,0.0822879821062088,2.50958585739136,66.0,129,-3.1,50.5,24500.0,2.2,1.87,South America,Spanish,17789267,0.710,6.1,7.5,31.1,11.2,2.8,47.7,44,0.843,79.7,16.4,10.3,21910,44
